city,区/市/县/旗,基站标识eNodeBID,小区标识（CellID）,k,基站中文名,扇区中文名,longitude,latitude,站点类型,设备厂家,扇区覆盖区域类型,农村/城区大类,物理小区标识(PCI),TAC,频段指示,天线方位角（度）,数据最近更新日期,id,tf, 
新余市,分宜县,471481,82,471481_82,XY_HMNB_XT_分宜道口边$欣荣驾校F1FD_L,XY_HMNB_L_XT_分宜道口边$欣荣驾校F1FD-8,114.69913,27.79697,宏站,华为,农村,农村,114,29445,5,180,2017/9/29 0:00,99673,农村, 
新余市,分宜县,471481,83,471481_83,XY_HMNB_XT_分宜道口边$欣荣驾校F1FD_L,XY_HMNB_L_XT_分宜道口边$欣荣驾校F1FD-9,114.69913,27.79697,宏站,华为,农村,农村,115,29445,5,300,2017/9/29 0:00,99674,农村, 
新余市,分宜县,471425,81,471425_81,XY_HMNB_XT_分宜县矿建机房$美食城F1FD_L,XY_HMNB_L_XT_分宜县矿建机房$美食城F1FD-7,114.699,27.8241,宏站,华为,县城,城区,266,29725,5,0,2017/9/29 0:00,99675,城市, 
新余市,分宜县,471425,82,471425_82,XY_HMNB_XT_分宜县矿建机房$美食城F1FD_L,XY_HMNB_L_XT_分宜县矿建机房$美食城F1FD-8,114.699,27.8241,宏站,华为,县城,城区,264,29725,5,170,2017/9/29 0:00,99676,城市, 
新余市,分宜县,471425,83,471425_83,XY_HMNB_XT_分宜县矿建机房$美食城F1FD_L,XY_HMNB_L_XT_分宜县矿建机房$美食城F1FD-9,114.699,27.8241,宏站,华为,县城,城区,265,29725,5,230,2017/9/29 0:00,99677,城市, 
新余市,分宜县,471272,81,471272_81,XY_HMNB_TL_分宜县大饭店_共联$F1FX_W,XY_HMNB_W_TL_分宜县大饭店共联$F1FX-7,114.6703,27.81143,宏站,华为,县城,城区,71,29725,5,100,2017/9/29 0:00,99678,城市, 
新余市,分宜县,471272,82,471272_82,XY_HMNB_TL_分宜县大饭店_共联$F1FX_W,XY_HMNB_W_TL_分宜县大饭店共联$F1FX-8,114.6703,27.81143,宏站,华为,县城,城区,70,29725,5,200,2017/9/29 0:00,99679,城市, 
新余市,分宜县,471272,83,471272_83,XY_HMNB_TL_分宜县大饭店_共联$F1FX_W,XY_HMNB_W_TL_分宜县大饭店共联$F1FX-9,114.6703,27.81143,宏站,华为,县城,城区,69,29725,5,290,2017/9/29 0:00,99680,城市, 
新余市,分宜县,471278,81,471278_81,XY_HMNB_TL_分宜县锦绣宾馆_共联$F1FD_W,XY_HMNB_W_TL_分宜县锦绣宾馆共联$F1FD-7,114.68233,27.81224,宏站,华为,县城,城区,295,29442,5,0,2017/9/29 0:00,99681,城市, 
新余市,分宜县,471278,82,471278_82,XY_HMNB_TL_分宜县锦绣宾馆_共联$F1FD_W,XY_HMNB_W_TL_分宜县锦绣宾馆共联$F1FD-8,114.68233,27.81224,宏站,华为,县城,城区,296,29442,5,120,2017/9/29 0:00,99682,城市, 
新余市,分宜县,471278,83,471278_83,XY_HMNB_TL_分宜县锦绣宾馆_共联$F1FD_W,XY_HMNB_W_TL_分宜县锦绣宾馆共联$F1FD-9,114.68233,27.81224,宏站,华为,县城,城区,294,29442,5,240,2017/9/29 0:00,99683,城市, 
